,lat,lon,street,city,province,postal_code,style,price,number_of_beds,number_of_baths,extra_space
0,43.8563707,-79.3376825,6 HONEYBOURNE CRES,Markham,Ontario,L3P 1P3,Semi-Detached,2998000,5,8,1
1,43.686359,-79.40231,123 HEATH ST W,Toronto,Ontario,M4V 2Y6,Semi-Detached,2798000,3,4,1
2,43.67089,-79.316931,83 BOARDWALK DR,Toronto,Ontario,M4L 3X9,Semi-Detached,2599900,3,4,0
3,43.1931661,-79.560677,2 LAKESIDE Drive,Grimsby,Ontario,L3M 2K7,Detached,2599900,5,3,0
4,43.5896231,-79.6443879,#A -41 BROADVIEW AVE,Mississauga,Ontario,L5H 2S8,Semi-Detached,2499850,4,4,1
5,43.447436,-79.666672,2158 PINEVIEW DR,Oakville,Ontario,L6H 5M3,Semi-Detached,1999000,5,4,0
6,43.6858146,-79.7599337,31 BIRCH TREE TR,Brampton,Ontario,L6P 3W1,Semi-Detached,1989900,4,6,1
7,43.6858146,-79.7599337,20 PELLEGRINO RD,Brampton,Ontario,L7A 4M8,Semi-Detached,1850000,4,5,1
8,43.816244,-79.851035,36 JAMES WALKER AVE,Caledon,Ontario,L7C 1R5,Semi-Detached,1750000,4,3,0
9,43.6858146,-79.7599337,61 MIDSUMMER DR,Brampton,Ontario,L6P 3E4,Semi-Detached,1689999,4,4,0
10,43.5896231,-79.6443879,#40 -74 COMPASS WAY,Mississauga,Ontario,L5G 4T8,Semi-Detached,1650000,4,5,0
11,45.4208777,-75.6901106,82 BLACKBURN AVENUE,Ottawa,Ontario,K1N 8A5,Semi-Detached,1600000,4,4,0
12,43.5896231,-79.6443879,1143 BANCROFT DR,Mississauga,Ontario,L5V 1B7,Semi-Detached,1588888,5,4,1
13,44.056258,-79.461708,815 GRACE ST,Newmarket,Ontario,L3Y 2L6,Semi-Detached,1588000,4,3,0
14,43.650005,-79.482809,98 ARDAGH ST,Toronto,Ontario,M6S 1Y7,Detached,1499000,3,2,0
15,43.8801166,-79.4392925,98 GRAND OAK  DR,Richmond Hill,Ontario,L4E 4A6,Detached,1499000,4,5,1
16,43.1561412,-79.9161804,4078 HWY #6 Highway S,Mount Hope,Ontario,L0R 1W0,Detached,1425000,3,3,0
17,44.91741,-79.373131,1055 EVANSWOOD DR,Gravenhurst,Ontario,P0E 1G0,Detached,1400000,5,2,0
18,43.447436,-79.666672,1336 ASHWOOD TERR,Oakville,Ontario,L6M 4A7,Detached,1398000,3,4,0
19,44.1375186,-79.9421083123357,8977 BOYNE RIVER RD,Adjala-Tosorontio,Ontario,L0M 1J0,Detached,1379900,3,3,1
20,43.6858146,-79.7599337,7 ANSBURY DR,Brampton,Ontario,L7A 3S8,Detached,1349999,4,4,1
21,43.6858146,-79.7599337,18 HIGHWOOD RD,Brampton,Ontario,L6Z 4T8,Detached,1349000,4,3,0
22,43.64877,-79.38171,#403 -15 SOUSA MENDES ST,Toronto,Ontario,M6P 0A9,Townhouse,1329000,2,3,1
23,43.6858146,-79.7599337,21 BARNES CRT,Brampton,Ontario,L7A 1J1,Townhouse,1299999,4,4,1
24,43.513671,-79.882817,178 COOKE CRES,Milton,Ontario,L9T 6E5,Townhouse,1299000,3,3,1
25,43.8563707,-79.3376825,261 KIRKHAM DR,Markham,Ontario,L3S 0E9,Townhouse,1299000,3,4,0
26,43.77506,-80.070076,17 BARBOUR DR,Erin,Ontario,N0B 1Z0,Townhouse,1299000,4,3,1
27,43.8505287,-79.0208814,133 RUSHWORTH DR,Ajax,Ontario,L1Z 2A3,Townhouse,1298000,4,4,1
28,44.3893113,-79.6901736,100 KNUPP RD,Barrie,Ontario,L4N 0N5,Townhouse,1274999,4,4,0
29,43.6858146,-79.7599337,133 BARLEYFIELD RD,Brampton,Ontario,L6R 2J4,Townhouse,1249000,4,4,1
30,43.6858146,-79.7599337,92 OAKMORE LANE,Brampton,Ontario,L6R 0C3,Townhouse,1200000,4,5,1
31,43.8801166,-79.4392925,12 HERCULES CLUB DR,Richmond Hill,Ontario,L4K 1K6,Townhouse,1199000,3,3,0
32,44.2921994,-77.82218148636545,293 HILLSIDE DR,Trent Hills,Ontario,K0L 1L0,Townhouse,1175000,4,2,0
33,44.3150892,-79.5461073,1254 HARRINGTON STREET ST,Innisfil,Ontario,L0L 1W0,Townhouse,1161254,4,4,0
34,43.2560802,-79.8728583,271 GREAT FALLS BLVD S,Hamilton,Ontario,L0R 2H8,Semi-Detached,1149000,4,3,0
35,44.7056973,-81.1926841,27 BOYDS HARBOUR Loop,North Bruce Peninsula,Ontario,N0H 1Z0,Detached,1099000,3,2,0
36,44.73339,-81.26644,17 PHILLIPS Place,Oliphant,Ontario,N0H 2T0,Detached,1099000,3,3,0
37,43.6858146,-79.7599337,19 ALDERWAY AVE,Brampton,Ontario,L6Y 2B5,Detached,1099000,3,2,0
38,43.8801166,-79.4392925,299 BOISDALE AVE,Richmond Hill,Ontario,L4C 1R4,Detached,1098000,3,2,0
39,43.6858146,-79.7599337,46 FADERS DR,Brampton,Ontario,L7A 4Y4,Semi-Detached,1049999,3,5,1
40,43.2556116,-79.0723264,14 PINOT TR,Niagara-on-the-Lake,Ontario,L0S 1J0,Semi-Detached,1025000,2,3,1
41,43.6858146,-79.7599337,130 CRESTHAVEN RD,Brampton,Ontario,L7A 1H8,Detached,999999,3,3,1
42,44.5027226,-80.2172379,12 WILSON  ST,Collingwood,Ontario,L9Y 4S1,Detached,999999,3,4,1
43,43.6858146,-79.7599337,84 DELPORT CLSE,Brampton,Ontario,L6P 3T2,Townhouse,999900,3,4,1
44,50.400255,-92.837993,52 FIRE ROUTE 45B,North Kawartha Twp,Ontario,K0L 2H0,Detached,999900,4,2,0
45,43.6858146,-79.7599337,21 CLAYPINE TR,Brampton,Ontario,L6V 3L8,Detached,999900,4,2,0
46,43.8563707,-79.3376825,17 LIAM LANE,Markham,Ontario,L3S 0E8,Semi-Detached,999888,4,4,0
